name,price,currency,description,ingredients,instruction_for_use,storage_instructions,country
Belgo Blonde 5.9%,55000,VND,"Blond beer with a rich foam collar and a
fruity bouquet brewed with two different
kinds of malt, two aromatic varieties of
hops and one secret herb that gives the
beer its inimitable taste",,,,
Belgo Amber 5.1%,55000,VND,"Highly drinkable Belgian beer with light
notes of caramel, dried fruit, bread
and toffee. Medium white silky head,
unfiltered",,,,
Belgo Cherry Ale Bottle (330ml),70000,VND,Belgo Cherry Ale Beer (330ml) is a well-known craft beer brewed in the Belgian style.,,,,
HeartDarkness Kurtz's Insane IPA 7.1% (330ml),0,VND,"A true hop-head's delight. Pours medium amber. Vibrant aroma with grapefruit and piney tones. Seven kinds of hops deliver a full blown assault on your taste buds, with pomelo and citrus leading the charge. Finishes with a tight, pleasant bitterness.",,,,
Pasteur Street Jasmine IPA 6.5% Can 330ml,0,VND,"Pasteur Street's flagship beer! The most popular and best-selling IPA in Vietnam since its inception, this unfiltered IPA showcases 3 hop varietals, most notably Citra. Locally sourced, dried jasmine flowers are added during the boil to imbue the brew with a wonderful aroma",,,,Vietnam
Maeloc Sidra Strawberry Flavor Alc. 4% (330ml),98000,VND,Cider Maeloc Fresa 330ml has a sweet and seductive cider flavor. A little yeast combines completely with a mild sweetness adding a little sour taste of the fruit,,,,
Cider Maeloc Mora 330ml,98000,VND,Cider Maeloc Sidra Mora beer possesses mysterious purple color combined with quite delicious taste. The perfect combination of fermented apple juice with raspberries. A great refreshing option that you should indulge in snacks and bars to ensure that it stimulates the taste buds and does not lose the taste of the beer.,,,,
Platinum Golden Beer Can 5% (330ml),46000,VND,"Expect delightful crisp bitterness, balanced by a malt-forward profile and hints of rich toffee and caramel.  Brewed naturally with yeast, which may settle at bottom of can.",,,,
Clausthaler Unfiltered Non- Alc. Beer (330ml),0,VND,"Non alcohol dry- hopping, where a special kind of savory hops is added to the brew after fermentation, with the historic German Zwickel tradition of unfiltered brewing. The result is a rich, naturally brew with crisp bitter notes, a touch of sweet malt and a golden color",,,,
Clausthaler Original Non- Alc. Beer (330ml),0,VND,"Well-balanced, fresh, and easy to drink, with a creamy feel on the palate and a pleasing color",,,,
Clausthaler Lemon Non- Alc. Beer (330ml),0,VND,Mix of 40% Clausthaler Classic and 60% lemonade. The tasty shandy is bottom-fermented and refreshing.,,,,
Schofferhofer Hefeweizen Dunkel Beer 5% (500ml),0,VND,Wheat beers are brewed as darker versions with deliciously complex malts and a low balancing bitterness.,,,,
East West Pacific Pilsner Beer Bottle 5% (330ml),0,VND,"Using all barley malt with generous amounts of modern hops for a lively burst of aroma, our award-winning Pacific Pilsner will be welcome to those who seek light easy to drink beer.",,,,West
FuzzyLogic Pale Ale 5.4% Draught Beer (330ml),0,VND,The first craft beer to appear in the Vietnam craft beer scene. It is brewed with caramel malts in a classic pale ale style. Medium bodied ale with a slight fruity taste and toasty maltiness. Finishes semi-dry with a tastefull and clean bitterness,,,,Vietnam
FuzzyLogic Pale Ale 5.4% Draught Beer 330ml,0,VND,"A light taste, crisp body with a dry and refreshing finish that will win every hearts of carft beer enthusiasts .",,,,
Lavie Sport Cap (750ml),9000,VND,"LaVie Natural Mineral Water 750ml with convenient & easy-open sport cap helps you quickly hydrate your body during sport, gym or outdoor activities, fitting your active lifestyle. 

Unlike other electrolyte water (man-made alkaline water) which is produced by water electrolysis process, La Vie is 100% naturally alkaline with pH=8, helps to bring your body back to balance.",,,,
Lavie Premium (400ml),9000,VND,"With elegant & premium design, LaVie mineral water 400ml is the perfect drink for your fine dining. With pure, light mineral taste, LaVie enhances the taste of food, bringing you a sophisticated culinary experience.
No sugar & calories, LaVie natural mineral water with 06 essential minerals is an ideal alternatives to other sugary drinks, helping you maintain your healthy lifestyle",,,,
LaVie Natural Mineral Water Kid (330ml),0,VND,"Unique & attractive animal designs with small pack size which is easily put on schoolbag for kids, LaVie Kid 330ml is a best bottled water to replenish your beloved children with 06 essential minerals. From now they will enjoy to drink more water.",,,,
Sunraysia Juice Prune (250ml),0,VND,"Prunes Juice is a source of dietary fibre, which helps keep your digestive system running at its best; potassium, which contributes to normal nervous system function and source of iron which contributes to normal cognitive function. Like a good wine, our Prune juices varies from season to season – that’s because it’s all natural!",,,,Prune
Coca Cola Japanese Version(160ml),28000,VND,Coca Cola Japan with the quintessential Original Taste has been preserved for many years by the most famous beverage company in the world. Japanese Coca Cola has a moderate gas concentration and a bolder and more delicious taste than the Coca Cola that we often enjoy.,,,,Japan
Coca Cola Japanese Version(300ml),52000,VND,"Coca Cola Japan with the quintessential Original Taste has been preserved for many years by the most famous beverage company in the world. Japanese Coca Cola has a moderate gas concentration and a bolder and more delicious taste than the Coca Cola that we often enjoy. Japanese Coca Cola cans with a capacity of 300ml are packaged as aluminum cans with screw-on lids very easily. use. The outstanding feature of Japanese Coca-Cola is the screw cap shape, the screw cap compared to the normal lid is that we can keep the taste much better after opening the can without using it all.",,,,Japan
Coca Cola Japanese Version(500ml),47000,VND,Coca Cola Japan with the quintessential Original Taste has been preserved for many years by the most famous beverage company in the world. Japanese Coca Cola has a moderate gas concentration and a bolder and more delicious taste than the Coca Cola that we often enjoy.,,,,Japan
Rauch - Happy Day Apple Juice (1L),0,VND,"Rauch is a premium fruit juice brand From Austria & now is one of the leading fruit juice company in Europe with more than 100 years of history.
  Rauch - Happy Day stands for a unique taste experience of highest quality. The wide range of product take you through a joyride of different flavors. From classics like Orange or Apple to exotic one like Pink Guava, Strawbery, Cherry, Cranberry. Rauch - Happy Day is also carries V-label & 100% vegan.",,,,Austria
